employee_id,department,role,base_salary,hire_date,is_overtime_eligible,max_weekly_ot_hours
EMP0144,Marketing,Marketing Coord,49189.29,2022-01-02,True,20
EMP0145,Sales,Senior Sales,81300.88,2023-09-27,True,20
EMP0146,Engineering,Tech Lead,91122.64,2023-02-20,False,20
EMP0147,Finance,Senior Analyst,92991.71,2021-04-29,True,20
EMP0148,Sales,Senior Sales,76419.64,2022-04-24,True,20
EMP0149,Engineering,Senior Dev,90551.73,2021-11-11,True,20
EMP0150,Finance,Senior Analyst,86030.3,2021-06-30,True,20
EMP0151,Sales,Sales Rep,47856.83,2022-02-22,True,20
EMP0152,Engineering,Engineering Manager,129029.02,2021-03-31,True,0
EMP0153,Sales,Regional Director,191250.25,2021-12-17,True,20
EMP0154,Marketing,Marketing Coord,48861.78,2021-04-01,True,20
EMP0155,Engineering,Senior Dev,91582.97,2022-03-27,True,20
EMP0156,Marketing,Marketing Specialist,64092.09,2020-05-22,True,20
EMP0157,Marketing,Marketing Specialist,63833.07,2023-08-06,True,20
EMP0158,HR,HR Specialist,76843.15,2023-10-23,True,20
EMP0159,HR,HR Specialist,63900.46,2020-02-26,True,20
EMP0160,Engineering,Tech Lead,96329.44,2020-12-31,False,20
EMP0161,HR,HR Specialist,70948.61,2020-03-19,True,20
EMP0162,Engineering,Engineering Manager,128898.73,2021-12-08,True,0
EMP0163,Operations,Operations Lead,128178.1,2022-06-12,True,20
EMP0164,HR,HR Manager,129108.99,2020-08-24,True,0
EMP0165,Finance,Senior Analyst,81864.74,2021-06-05,True,20
EMP0166,Engineering,Engineering Manager,123959.6,2020-01-04,True,0
EMP0167,HR,HR Manager,101320.28,2023-11-07,True,0
EMP0168,Operations,Operations Manager,102094.19,2023-10-05,True,0
EMP0169,Sales,Sales Manager,144012.94,2022-06-02,True,0
EMP0170,Engineering,Tech Lead,104869.06,2023-06-30,False,20
EMP0171,Marketing,Marketing Manager,124270.17,2020-09-12,True,0
EMP0172,Operations,Operations Lead,98445.47,2022-11-04,True,20
EMP0173,Marketing,Marketing Manager,122595.54,2022-04-16,True,0
EMP0174,Marketing,Marketing Specialist,67890.2,2023-11-28,True,20
EMP0175,Marketing,Marketing Manager,121767.15,2020-09-17,True,0
EMP0176,Sales,Regional Director,173229.63,2023-09-23,True,20
EMP0177,Finance,Senior Analyst,87390.05,2023-06-14,True,20
EMP0178,HR,HR Specialist,59892.16,2022-04-11,True,20
EMP0179,HR,HR Coord,42533.93,2021-09-14,True,20
EMP0180,Marketing,Marketing Coord,56884.75,2022-05-30,True,20
EMP0181,HR,HR Manager,122672.09,2023-09-02,True,0
EMP0182,Marketing,Marketing Specialist,67201.92,2022-06-23,True,20
EMP0183,Finance,Senior Analyst,96274.97,2022-11-12,True,20
EMP0184,Finance,Senior Analyst,107330.7,2023-09-11,True,20
EMP0185,Engineering,Tech Lead,96287.24,2022-11-21,False,20
EMP0186,Operations,Operations Manager,104145.91,2023-06-22,True,0
EMP0187,Marketing,Marketing Coord,44271.6,2021-04-26,True,20
EMP0188,Operations,Operations Lead,94259.33,2021-04-05,True,20
EMP0189,Sales,Senior Sales,91250.62,2020-02-20,True,20
EMP0190,Engineering,Senior Dev,92156.75,2022-08-31,True,20
EMP0191,HR,HR Coord,44762.94,2022-07-21,True,20
EMP0192,Finance,Senior Analyst,96521.74,2024-01-11,True,20
EMP0193,Operations,Operations Lead,122990.63,2022-10-09,True,20
EMP0194,Finance,Senior Analyst,77953.9,2020-10-29,True,20
EMP0195,Operations,Operations Manager,142851.85,2020-01-12,True,0
EMP0196,Engineering,Engineering Manager,144077.55,2021-03-24,True,0
EMP0197,Sales,Regional Director,161956.75,2020-04-12,True,20
EMP0198,HR,HR Coord,51878.86,2020-09-05,True,20
EMP0199,Finance,Senior Analyst,94535.34,2022-08-09,True,20
EMP0200,Operations,Operations Manager,140993.92,2023-02-18,True,0
